"descript","count"
"NOT SUPPLIED","136"
"R 0 - 499","14994"
"R500 - 999","2496"
"R1,000 - 1,999","8319"
"R2,000 - 2,999","5889"
"R3,000 - 3,999","13395"
"R4,000 - 4,999","38242"
"R5,000 - 5,999","40719"
"R6,000 - 6,999","41316"
"R7,000 - 7,999","47822"
"R8,000 - 8,999","47663"
"R9,000 - 9,999","31597"
"R10,000 - 11,999","69661"
"R12,000 - 14,999","84208"
"R15,000 - 19,999","131996"
"R20,000 - 24,999","105093"
"R25,000 - 33,999","90633"
"R34,000 - 41,999","42675"
"R42,000 - 62,999","23648"
"R63,000 - 84,999","6101"
"R85,000 - 124,999","824"
"R125,000+","117"
