"transaction_year","transaction_month","account_type","cash_flow"
"2021","7","CHEQ",-15400.51999999999
"2021","8","CHEQ",-104053.48000000001
"2021","9","CHEQ",117961.52000000035
"2021","10","CHEQ",-371629.6399999997
"2021","11","CHEQ",302616.5300000012
"2021","12","CHEQ",-839668.3899999985
"2022","1","CHEQ",203843.0200000017
"2022","2","CHEQ",369670.0199999993
"2022","3","CHEQ",154275.2800000019
"2022","4","CHEQ",1347654.8000000059
"2022","5","CHEQ",2001785.3500000183
"2022","6","CHEQ",2115125.610000018
"2022","7","CHEQ",1370629.4500000072
"2022","8","CHEQ",2512645.4100000085
